Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","690","Seychelles","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","690","Seychelles","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","694","Sierra Leone","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","2.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","694","Sierra Leone","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","2.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","702","Singapore","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","702","Singapore","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","703","Slovakia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","703","Slovakia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","705","Slovenia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","705","Slovenia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","090","Solomon Islands","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","090","Solomon Islands","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","706","Somalia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","706","Somalia","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","710","South Africa","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","3.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","710","South Africa","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","728","South Sudan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","O","Missing value",""
"FS","Suite of Food Security Indicators","724","Spain","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","724","Spain","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","144","Sri Lanka","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","144","Sri Lanka","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","1.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","729","Sudan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","4.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","729","Sudan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","4.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","740","Suriname","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","740","Suriname","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","<0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","752","Sweden","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","752","Sweden","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","756","Switzerland","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
